"","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","saved"
"1",0.547,0.695,9,-4.969,0.0337,0.108,0.00301,0.14,0.641,144.684,241985,4,1
"2",0.808,0.907,1,-4.028,0.0609,0.104,0.000735,0.216,0.943,127.978,187725,4,1
"3",0.202,0.741,9,-8.767,0.0565,0.0138,0.362,0.101,0.362,140.498,248560,4,1
"4",0.523,0.954,0,-7.042,0.0408,0.00554,8.01e-06,0.755,0.861,133.829,253827,4,1
"5",0.646,0.915,4,-4.108,0.0451,0.0137,1.17e-05,0.0766,0.861,133.976,219227,4,1
"6",0.485,0.514,5,-11.433,0.0305,0.492,7.28e-06,0.122,0.496,107.024,232000,4,1
"7",0.683,0.776,0,-7.029,0.0754,0.274,0.0748,0.0885,0.664,126.18,266173,4,1
"8",0.432,0.325,10,-16.33,0.0514,0.0451,0.0723,0.255,0.488,126.273,231307,3,1
"9",0.516,0.889,1,-6.924,0.0611,0.1,0.00267,0.268,0.775,132.724,209013,4,1
"10",0.296,0.776,6,-5.63,0.0597,0.00591,0.801,0.597,0.406,93.481,213590,4,1
"11",0.392,0.983,0,-4.013,0.0897,0.102,0,0.348,0.321,160.028,202718,4,1
"12",0.335,0.817,6,-6.159,0.0605,0.0169,0.98,0.563,0.245,94.525,171829,4,1
"13",0.523,0.803,4,-5.189,0.045,0.579,0,0.0948,0.898,132.316,145293,4,1
"14",0.319,0.629,4,-8.252,0.0354,0.0255,0.015,0.122,0.225,110.558,363907,4,1
"15",0.672,0.792,2,-7.033,0.0264,0.0843,0.0605,0.302,0.683,111.277,260680,4,1
"16",0.583,0.833,0,-8.29,0.0343,0.0531,5.57e-05,0.16,0.81,119.884,182800,4,1
"17",0.231,0.888,2,-3.414,0.0511,0.000776,0.000292,0.414,0.368,90.714,243823,4,1
"18",0.266,0.831,4,-9.07,0.0453,0.000862,0,0.0555,0.778,175.514,163693,4,1
"19",0.556,0.92,8,-4.606,0.0367,0.00271,0.00021,0.117,0.771,121.138,159227,4,1
"20",0.279,0.636,6,-12.586,0.0455,0.0472,0.0419,0.141,0.466,178.676,389095,4,1
"21",0.583,0.748,0,-2.782,0.101,0.0129,0,0.258,0.781,160.026,164773,4,1
"22",0.607,0.913,11,-6.822,0.069,0.015,0.118,0.164,0.518,124.677,216453,4,1
"23",0.404,0.607,9,-6.197,0.0328,0.0116,0.00122,0.108,0.134,77.802,318551,4,1
"24",0.271,0.687,4,-7.244,0.0428,0.00557,0.117,0.191,0.237,78.11,252824,4,1
"25",0.516,0.781,8,-4.004,0.0364,0.00136,0.000735,0.11,0.897,116.793,235587,4,1
"26",0.602,0.85,11,-6.602,0.1,0.636,3.26e-05,0.663,0.339,112.077,295587,4,1
"27",0.28,0.905,2,-5.184,0.0742,0.138,0.612,0.549,0.52,103.297,186253,5,1
"28",0.459,0.964,6,-4.021,0.099,0.0207,0.114,0.246,0.356,107.244,198387,4,1
"29",0.587,0.874,2,-3.597,0.0544,0.0546,0.000452,0.0511,0.469,95.017,291400,4,1
"30",0.247,0.75,11,-4.624,0.041,0.501,0.0389,0.624,0.416,79.603,240987,4,1
"31",0.645,0.914,1,-5.832,0.0418,0.00733,0.0168,0.0918,0.615,125.027,469246,4,1
"32",0.214,0.604,1,-7.095,0.0602,0.000184,0,0.0782,0.312,104.202,158800,4,1
"33",0.537,0.739,4,-10.408,0.054,0.239,0.00401,0.225,0.761,142.338,189727,4,1
"34",0.179,0.807,7,-8.822,0.104,0.000118,0.475,0.334,0.637,157.149,155293,4,1
"35",0.33,0.8,1,-11.925,0.0628,0.0633,0.127,0.349,0.629,142.918,183773,4,1
"36",0.248,0.618,0,-8.591,0.0458,0.812,0.509,0.131,0.543,128.552,212653,4,1
"37",0.474,0.721,2,-8.229,0.101,0.0186,0.000946,0.0856,0.397,108.99,321587,4,1
"38",0.484,0.527,2,-6.823,0.057,0.561,0.00889,0.288,0.344,139.847,317293,4,1
"39",0.475,0.792,4,-1.717,0.0357,0.000555,0.00112,0.127,0.563,94.057,225520,4,1
"40",0.442,0.957,7,-5.12,0.0584,8.66e-05,0.734,0.108,0.374,95.006,176547,4,1
"41",0.55,0.568,5,-10.387,0.037,0.432,0.81,0.104,0.341,94.04,202147,4,1
"42",0.668,0.743,7,-9.367,0.0904,0.221,0.751,0.0774,0.511,114.928,385067,4,1
"43",0.733,0.781,1,-8.274,0.0367,0.0354,0.261,0.0878,0.965,121.614,319227,4,1
"44",0.44,0.933,2,-4.796,0.0388,0.448,0.372,0.0713,0.626,103.038,221658,4,1
"45",0.437,0.991,10,-3.89,0.106,0.0647,0.0229,0.362,0.436,131.306,213949,4,1
"46",0.422,0.959,1,-5.034,0.0606,0.0826,2.71e-06,0.593,0.648,174.06,316720,4,1
"47",0.606,0.903,4,-3.944,0.0799,0.0127,0.000125,0.0982,0.822,142.905,177006,4,1
"48",0.686,0.729,7,-4.848,0.0298,0.175,0.000833,0.137,0.79,123.546,192933,4,1
"49",0.673,0.673,2,-7.407,0.0582,0.243,0.0191,0.089,0.544,96.959,329800,4,1
"50",0.612,0.912,11,-4.219,0.0387,0.103,0.211,0.326,0.715,168.09,178920,4,1
"51",0.306,0.889,6,-8.691,0.117,0.000824,0.0121,0.271,0.255,182.054,249000,4,1
"52",0.524,0.982,6,-2.865,0.126,0.0092,0.126,0.328,0.662,122.916,191240,4,1
"53",0.686,0.888,6,-4.769,0.0592,0.00174,0.454,0.286,0.705,100.036,317240,4,1
"54",0.514,0.983,1,-3.702,0.141,0.00177,0.169,0.504,0.333,128.361,254560,4,1
"55",0.558,0.903,0,-5.034,0.0701,0.35,0.309,0.278,0.771,127.364,324960,4,1
"56",0.594,0.987,2,-3.67,0.0766,0.000306,0.0983,0.143,0.471,129.498,262027,4,1
"57",0.484,0.852,8,-6.83,0.0451,0.000251,1.05e-06,0.0761,0.806,117.792,174787,4,1
"58",0.562,0.835,9,-3.134,0.112,0.000356,5.5e-06,0.276,0.442,135.111,205357,4,1
"59",0.523,0.866,9,-3.81,0.079,0.000656,0.0497,0.576,0.562,141.496,217246,4,1
"60",0.447,0.9,5,-6.741,0.0578,0.00114,0.00596,0.47,0.39,135.861,199733,4,1
"61",0.591,0.843,5,-4.661,0.0456,0.00264,2.43e-06,0.613,0.78,128.003,186627,4,1
"62",0.526,0.902,9,-4.385,0.0393,0.216,0.000124,0.0985,0.833,123.856,226107,4,1
"63",0.677,0.843,5,-5.018,0.0531,0.0292,0.00128,0.381,0.587,105.108,190507,4,1
"64",0.504,0.877,4,-7.469,0.053,0.000242,2.66e-06,0.293,0.821,106.272,104360,4,1
"65",0.288,0.757,0,-8.065,0.0652,0.0117,0.14,0.363,0.311,89.694,246200,4,1
"66",0.418,0.383,4,-11.782,0.0257,0.0718,0.0177,0.0896,0.352,87.773,257480,4,1
"67",0.242,0.859,0,-8.4,0.0663,0.056,0.116,0.38,0.671,96.929,276427,4,1
"68",0.456,0.549,4,-13.111,0.0343,0.186,0.00227,0.0877,0.834,98.583,274010,4,1
"69",0.49,0.781,11,-10.1,0.268,0.0108,0.00118,0.065,0.764,79.166,180173,4,1
"70",0.381,0.773,9,-11.41,0.0471,9.03e-05,0.015,0.614,0.489,160.267,171640,4,1
"71",0.607,0.886,11,-7.903,0.0846,0.0143,6.59e-06,0.0854,0.706,131.531,157213,4,1
"72",0.547,0.82,8,-6.728,0.0805,0.261,0,0.3,0.933,118.208,172867,4,1
"73",0.591,0.793,7,-6.218,0.0456,0.00139,0.0225,0.369,0.413,125.035,268787,4,1
"74",0.439,0.397,10,-9.038,0.0239,0.0739,0.000112,0.225,0.253,63.147,204960,4,1
"75",0.532,0.932,9,-0.699,0.0409,0.136,3.85e-05,0.218,0.741,126.016,146338,4,1
"76",0.154,0.972,7,-3.626,0.111,0.000913,0.247,0.368,0.213,205.467,192920,4,1
"77",0.516,0.959,2,-2.484,0.0597,0.000659,4.44e-06,0.046,0.474,109.91,191600,4,1
"78",0.635,0.914,0,-5.631,0.111,0.0597,0,0.601,0.922,156.014,175493,4,1
"79",0.924,0.42,1,-9.221,0.0357,0.0733,5.21e-05,0.107,0.931,99.271,192707,4,1
"80",0.647,0.71,0,-4.692,0.029,0.000973,0.703,0.0777,0.268,110.059,217493,4,1
"81",0.679,0.768,0,-7.246,0.0787,0.254,0.0401,0.0916,0.685,126.117,266627,4,1
"82",0.527,0.871,4,-8.708,0.0354,0.0229,0.155,0.419,0.107,120.722,188560,4,1
"83",0.333,0.82,9,-8.427,0.04,0.00589,0.861,0.474,0.318,91.886,147640,4,1
"84",0.686,0.689,3,-5.558,0.0366,0.000313,0.69,0.0492,0.875,121.329,140533,4,1
"85",0.358,0.559,7,-4.689,0.0361,0.0407,0.00013,0.0821,0.334,74.343,214839,4,1
"86",0.506,0.671,2,-6.454,0.0405,0.058,7.22e-06,0.0737,0.692,108.546,246143,4,1
"87",0.502,0.652,9,-7.224,0.3,0.0849,0,0.0675,0.649,136.04,254093,4,1
"88",0.423,0.748,5,-9.832,0.0387,0.03,0.221,0.169,0.428,93.977,325200,4,1
"89",0.32,0.798,10,-7.078,0.124,0.00033,0.692,0.176,0.74,84.696,209040,4,1
"90",0.485,0.846,11,-7.63,0.0528,0.0157,0.0287,0.0766,0.743,144.246,237013,4,1
"91",0.341,0.552,8,-10.503,0.0423,8.02e-05,0.616,0.0591,0.486,121.361,182493,4,1
"92",0.731,0.875,7,-6.393,0.0459,0.000367,0.858,0.289,0.166,112.775,594453,4,1
"93",0.783,0.666,8,-9.523,0.0814,0.665,0,0.204,0.906,92.471,233120,4,1
"94",0.701,0.656,7,-10.958,0.0326,0.151,0.00012,0.0739,0.851,102.878,243533,4,1
