danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.312, 0.844, 7, -7.085, 1, 0.0511, 0.0798, 0.0231, 0.0793, 0.626, 97.039, audio_features, 2TTAPkrGQQOZkaUTUlt21Q, spotify:track:2TTAPkrGQQOZkaUTUlt21Q, https://api.spotify.com/v1/tracks/2TTAPkrGQQOZkaUTUlt21Q, https://api.spotify.com/v1/audio-analysis/2TTAPkrGQQOZkaUTUlt21Q, 199467, 4
0.481, 0.204, 9, -20.868, 1, 0.0691, 0.229, 0.688, 0.11, 0.133, 136.696, audio_features, 0KBjFrKkWhJMjdLX1wBgzg, spotify:track:0KBjFrKkWhJMjdLX1wBgzg, https://api.spotify.com/v1/tracks/0KBjFrKkWhJMjdLX1wBgzg, https://api.spotify.com/v1/audio-analysis/0KBjFrKkWhJMjdLX1wBgzg, 307400, 4
0.666, 0.344, 2, -10.243, 0, 0.034, 0.127, 0.375, 0.106, 0.478, 121.458, audio_features, 6IVIsIJXFUxyyG2Bp2AEaq, spotify:track:6IVIsIJXFUxyyG2Bp2AEaq, https://api.spotify.com/v1/tracks/6IVIsIJXFUxyyG2Bp2AEaq, https://api.spotify.com/v1/audio-analysis/6IVIsIJXFUxyyG2Bp2AEaq, 492267, 4
0.202, 0.79, 8, -5.199, 1, 0.0321, 0.00233, 0.722, 0.0768, 0.0919, 91.623, audio_features, 754cLTbgHNJDIKDxjDsMkI, spotify:track:754cLTbgHNJDIKDxjDsMkI, https://api.spotify.com/v1/tracks/754cLTbgHNJDIKDxjDsMkI, https://api.spotify.com/v1/audio-analysis/754cLTbgHNJDIKDxjDsMkI, 236667, 4
0.392, 0.814, 1, -8.065, 0, 0.0563, 0.0168, 0.773, 0.125, 0.661, 156.856, audio_features, 3acQT3MMEyZgWKRChD92W3, spotify:track:3acQT3MMEyZgWKRChD92W3, https://api.spotify.com/v1/tracks/3acQT3MMEyZgWKRChD92W3, https://api.spotify.com/v1/audio-analysis/3acQT3MMEyZgWKRChD92W3, 229173, 4
0.509, 0.985, 2, -4.146, 1, 0.219, 0.0014, 0.0994, 0.0707, 0.0696, 112.131, audio_features, 3exgW5tkROeKtsA1oglTCU, spotify:track:3exgW5tkROeKtsA1oglTCU, https://api.spotify.com/v1/tracks/3exgW5tkROeKtsA1oglTCU, https://api.spotify.com/v1/audio-analysis/3exgW5tkROeKtsA1oglTCU, 126387, 4
0.245, 0.922, 5, -4.393, 0, 0.173, 0.00345, 5.26e-05, 0.195, 0.666, 82.191, audio_features, 2hMNP81ebBKjVs3D7CMG3p, spotify:track:2hMNP81ebBKjVs3D7CMG3p, https://api.spotify.com/v1/tracks/2hMNP81ebBKjVs3D7CMG3p, https://api.spotify.com/v1/audio-analysis/2hMNP81ebBKjVs3D7CMG3p, 245987, 4
0.642, 0.83, 2, -5.903, 1, 0.0336, 0.263, 0.0032, 0.0839, 0.551, 135.982, audio_features, 3IxTzXsvEeKmVDewO5Gqp9, spotify:track:3IxTzXsvEeKmVDewO5Gqp9, https://api.spotify.com/v1/tracks/3IxTzXsvEeKmVDewO5Gqp9, https://api.spotify.com/v1/audio-analysis/3IxTzXsvEeKmVDewO5Gqp9, 287440, 4
0.665, 0.675, 6, -13.068, 0, 0.0685, 0.411, 1.24e-06, 0.161, 0.936, 94.988, audio_features, 3c0phV53oxoCUmpuFkBUgU, spotify:track:3c0phV53oxoCUmpuFkBUgU, https://api.spotify.com/v1/tracks/3c0phV53oxoCUmpuFkBUgU, https://api.spotify.com/v1/audio-analysis/3c0phV53oxoCUmpuFkBUgU, 292432, 4
0.434, 0.581, 4, -7.449, 1, 0.0313, 0.809, 0.0002, 0.338, 0.447, 100.219, audio_features, 1K5wIDgNBgT7lVOMibiRAE, spotify:track:1K5wIDgNBgT7lVOMibiRAE, https://api.spotify.com/v1/tracks/1K5wIDgNBgT7lVOMibiRAE, https://api.spotify.com/v1/audio-analysis/1K5wIDgNBgT7lVOMibiRAE, 204347, 4
0.455, 0.976, 9, -3.757, 0, 0.0801, 0.00274, 0.623, 0.0566, 0.542, 137.895, audio_features, 70LIe5IYE2TI8qqxePAoOR, spotify:track:70LIe5IYE2TI8qqxePAoOR, https://api.spotify.com/v1/tracks/70LIe5IYE2TI8qqxePAoOR, https://api.spotify.com/v1/audio-analysis/70LIe5IYE2TI8qqxePAoOR, 195600, 4
0.694, 0.942, 5, -5.142, 1, 0.188, 0.388, 0.0148, 0.384, 0.58, 131.393, audio_features, 0DuuEawKZv0CaPpojnMciU, spotify:track:0DuuEawKZv0CaPpojnMciU, https://api.spotify.com/v1/tracks/0DuuEawKZv0CaPpojnMciU, https://api.spotify.com/v1/audio-analysis/0DuuEawKZv0CaPpojnMciU, 745653, 4
0.463, 0.562, 0, -8.932, 0, 0.078, 0.132, 1.82e-05, 0.111, 0.787, 164.391, audio_features, 4dUOAFN1Yk2TuslROwZcdX, spotify:track:4dUOAFN1Yk2TuslROwZcdX, https://api.spotify.com/v1/tracks/4dUOAFN1Yk2TuslROwZcdX, https://api.spotify.com/v1/audio-analysis/4dUOAFN1Yk2TuslROwZcdX, 183093, 4
0.616, 0.761, 7, -10.445, 1, 0.0306, 0.0418, 0.00463, 0.155, 0.895, 152.998, audio_features, 0cF4mPq0ySXYCH7m46jAEj, spotify:track:0cF4mPq0ySXYCH7m46jAEj, https://api.spotify.com/v1/tracks/0cF4mPq0ySXYCH7m46jAEj, https://api.spotify.com/v1/audio-analysis/0cF4mPq0ySXYCH7m46jAEj, 222893, 4
0.308, 0.916, 4, -5.615, 1, 0.048, 0.00249, 0.000586, 0.0956, 0.5, 144.713, audio_features, 4wcCoYcwExlzVeGMFDDGA3, spotify:track:4wcCoYcwExlzVeGMFDDGA3, https://api.spotify.com/v1/tracks/4wcCoYcwExlzVeGMFDDGA3, https://api.spotify.com/v1/audio-analysis/4wcCoYcwExlzVeGMFDDGA3, 233707, 4
0.244, 0.936, 4, -7.208, 0, 0.0793, 8.44e-06, 0.0398, 0.429, 0.139, 154.862, audio_features, 49j1UwCxDAO3GIyREYScJ6, spotify:track:49j1UwCxDAO3GIyREYScJ6, https://api.spotify.com/v1/tracks/49j1UwCxDAO3GIyREYScJ6, https://api.spotify.com/v1/audio-analysis/49j1UwCxDAO3GIyREYScJ6, 140800, 4
0.613, 0.924, 10, -7.762, 0, 0.0439, 0.0313, 0.017, 0.322, 0.64, 115.236, audio_features, 5adZJgLKDMlZGDBsVIKVML, spotify:track:5adZJgLKDMlZGDBsVIKVML, https://api.spotify.com/v1/tracks/5adZJgLKDMlZGDBsVIKVML, https://api.spotify.com/v1/audio-analysis/5adZJgLKDMlZGDBsVIKVML, 347067, 4
0.479, 0.902, 1, -11.104, 1, 0.0536, 0.00173, 0.744, 0.302, 0.568, 176.537, audio_features, 6GXHs5QcBswJnoC5IoZ9lp, spotify:track:6GXHs5QcBswJnoC5IoZ9lp, https://api.spotify.com/v1/tracks/6GXHs5QcBswJnoC5IoZ9lp, https://api.spotify.com/v1/audio-analysis/6GXHs5QcBswJnoC5IoZ9lp, 287640, 4
0.783, 0.719, 0, -4.454, 1, 0.054, 0.0104, 0.874, 0.0797, 0.932, 120.131, audio_features, 6IELxA0VjPNUCQDHPA3P1g, spotify:track:6IELxA0VjPNUCQDHPA3P1g, https://api.spotify.com/v1/tracks/6IELxA0VjPNUCQDHPA3P1g, https://api.spotify.com/v1/audio-analysis/6IELxA0VjPNUCQDHPA3P1g, 133160, 4
0.724, 0.601, 11, -10.805, 0, 0.0634, 0.259, 0.237, 0.111, 0.886, 113.227, audio_features, 6MqfTP3OwngywVTOS5OAFt, spotify:track:6MqfTP3OwngywVTOS5OAFt, https://api.spotify.com/v1/tracks/6MqfTP3OwngywVTOS5OAFt, https://api.spotify.com/v1/audio-analysis/6MqfTP3OwngywVTOS5OAFt, 179413, 4
0.532, 0.685, 3, -6.86, 1, 0.0283, 0.00418, 0.00685, 0.282, 0.194, 125.965, audio_features, 6OS8LdGuhTz7kONDDlRpz6, spotify:track:6OS8LdGuhTz7kONDDlRpz6, https://api.spotify.com/v1/tracks/6OS8LdGuhTz7kONDDlRpz6, https://api.spotify.com/v1/audio-analysis/6OS8LdGuhTz7kONDDlRpz6, 300133, 4
0.671, 0.786, 6, -5.753, 0, 0.0315, 0.399, 0, 0.103, 0.963, 128.825, audio_features, 6f1SuRXs5fotwtYxvuHoIW, spotify:track:6f1SuRXs5fotwtYxvuHoIW, https://api.spotify.com/v1/tracks/6f1SuRXs5fotwtYxvuHoIW, https://api.spotify.com/v1/audio-analysis/6f1SuRXs5fotwtYxvuHoIW, 126547, 4
0.465, 0.357, 2, -13.532, 1, 0.0343, 0.487, 0.0121, 0.155, 0.582, 130.74, audio_features, 6zBpwjeoQPbBaqMveqms5k, spotify:track:6zBpwjeoQPbBaqMveqms5k, https://api.spotify.com/v1/tracks/6zBpwjeoQPbBaqMveqms5k, https://api.spotify.com/v1/audio-analysis/6zBpwjeoQPbBaqMveqms5k, 191000, 4
0.378, 0.616, 4, -8.894, 0, 0.0408, 0.308, 0.598, 0.394, 0.135, 111.746, audio_features, 7GPkaA7ZYLKOsZylGPoxDQ, spotify:track:7GPkaA7ZYLKOsZylGPoxDQ, https://api.spotify.com/v1/tracks/7GPkaA7ZYLKOsZylGPoxDQ, https://api.spotify.com/v1/audio-analysis/7GPkaA7ZYLKOsZylGPoxDQ, 305973, 4
0.665, 0.774, 2, -7.633, 1, 0.0425, 0.21, 0.92, 0.114, 0.379, 118.969, audio_features, 7aLmXsjSffnvXlsBrATTn9, spotify:track:7aLmXsjSffnvXlsBrATTn9, https://api.spotify.com/v1/tracks/7aLmXsjSffnvXlsBrATTn9, https://api.spotify.com/v1/audio-analysis/7aLmXsjSffnvXlsBrATTn9, 195973, 4
0.716, 0.935, 10, -4.206, 0, 0.0613, 0.0662, 1.05e-06, 0.0898, 0.961, 100.176, audio_features, 7wotdNGMm6PrQ9xUXYQtVp, spotify:track:7wotdNGMm6PrQ9xUXYQtVp, https://api.spotify.com/v1/tracks/7wotdNGMm6PrQ9xUXYQtVp, https://api.spotify.com/v1/audio-analysis/7wotdNGMm6PrQ9xUXYQtVp, 199627, 4
0.419, 0.517, 8, -9.368, 1, 0.0284, 0.532, 0.0251, 0.0785, 0.905, 145.109, audio_features, 7xRemq7GLu0Tbqe9OckG87, spotify:track:7xRemq7GLu0Tbqe9OckG87, https://api.spotify.com/v1/tracks/7xRemq7GLu0Tbqe9OckG87, https://api.spotify.com/v1/audio-analysis/7xRemq7GLu0Tbqe9OckG87, 186213, 4
