danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.547, 0.695, 9, -4.969, 1, 0.0337, 0.108, 0.00301, 0.14, 0.641, 144.684, audio_features, 32ZeITs3JUlf0zGB8zS3cO, spotify:track:32ZeITs3JUlf0zGB8zS3cO, https://api.spotify.com/v1/tracks/32ZeITs3JUlf0zGB8zS3cO, https://api.spotify.com/v1/audio-analysis/32ZeITs3JUlf0zGB8zS3cO, 241985, 4
0.808, 0.907, 1, -4.028, 0, 0.0609, 0.104, 0.000735, 0.216, 0.943, 127.978, audio_features, 43aOGDeF6L2MOuXtJX5fu8, spotify:track:43aOGDeF6L2MOuXtJX5fu8, https://api.spotify.com/v1/tracks/43aOGDeF6L2MOuXtJX5fu8, https://api.spotify.com/v1/audio-analysis/43aOGDeF6L2MOuXtJX5fu8, 187725, 4
0.202, 0.741, 9, -8.767, 0, 0.0565, 0.0138, 0.362, 0.101, 0.362, 140.498, audio_features, 2cjQdVcuTteaz44I0Cjs4f, spotify:track:2cjQdVcuTteaz44I0Cjs4f, https://api.spotify.com/v1/tracks/2cjQdVcuTteaz44I0Cjs4f, https://api.spotify.com/v1/audio-analysis/2cjQdVcuTteaz44I0Cjs4f, 248560, 4
0.523, 0.954, 0, -7.042, 1, 0.0408, 0.00554, 8.01e-06, 0.755, 0.861, 133.829, audio_features, 4mS1Su5zf50QwNcjYjYzG6, spotify:track:4mS1Su5zf50QwNcjYjYzG6, https://api.spotify.com/v1/tracks/4mS1Su5zf50QwNcjYjYzG6, https://api.spotify.com/v1/audio-analysis/4mS1Su5zf50QwNcjYjYzG6, 253827, 4
0.646, 0.915, 4, -4.108, 1, 0.0451, 0.0137, 1.17e-05, 0.0766, 0.861, 133.976, audio_features, 3WDRFFmZg9YEwMsNIty1ht, spotify:track:3WDRFFmZg9YEwMsNIty1ht, https://api.spotify.com/v1/tracks/3WDRFFmZg9YEwMsNIty1ht, https://api.spotify.com/v1/audio-analysis/3WDRFFmZg9YEwMsNIty1ht, 219227, 4
0.485, 0.514, 5, -11.433, 1, 0.0305, 0.492, 7.28e-06, 0.122, 0.496, 107.024, audio_features, 0sWrJaH7ues8yOlczcK71l, spotify:track:0sWrJaH7ues8yOlczcK71l, https://api.spotify.com/v1/tracks/0sWrJaH7ues8yOlczcK71l, https://api.spotify.com/v1/audio-analysis/0sWrJaH7ues8yOlczcK71l, 232000, 4
0.683, 0.776, 0, -7.029, 1, 0.0754, 0.274, 0.0748, 0.0885, 0.664, 126.18, audio_features, 4jEzyMsPcQr7LQG6J0vp3V, spotify:track:4jEzyMsPcQr7LQG6J0vp3V, https://api.spotify.com/v1/tracks/4jEzyMsPcQr7LQG6J0vp3V, https://api.spotify.com/v1/audio-analysis/4jEzyMsPcQr7LQG6J0vp3V, 266173, 4
0.432, 0.325, 10, -16.33, 1, 0.0514, 0.0451, 0.0723, 0.255, 0.488, 126.273, audio_features, 3BiZ8inbHGmvmOmLMFNXYn, spotify:track:3BiZ8inbHGmvmOmLMFNXYn, https://api.spotify.com/v1/tracks/3BiZ8inbHGmvmOmLMFNXYn, https://api.spotify.com/v1/audio-analysis/3BiZ8inbHGmvmOmLMFNXYn, 231307, 3
0.516, 0.889, 1, -6.924, 1, 0.0611, 0.1, 0.00267, 0.268, 0.775, 132.724, audio_features, 7akxzzetf06jvqQEEIf55y, spotify:track:7akxzzetf06jvqQEEIf55y, https://api.spotify.com/v1/tracks/7akxzzetf06jvqQEEIf55y, https://api.spotify.com/v1/audio-analysis/7akxzzetf06jvqQEEIf55y, 209013, 4
0.296, 0.776, 6, -5.63, 0, 0.0597, 0.00591, 0.801, 0.597, 0.406, 93.481, audio_features, 7fQgIaTVHxip9m7no6wwAc, spotify:track:7fQgIaTVHxip9m7no6wwAc, https://api.spotify.com/v1/tracks/7fQgIaTVHxip9m7no6wwAc, https://api.spotify.com/v1/audio-analysis/7fQgIaTVHxip9m7no6wwAc, 213590, 4
0.392, 0.983, 0, -4.013, 1, 0.0897, 0.102, 0, 0.348, 0.321, 160.028, audio_features, 72cjVO7D8QF2DgkafXq9it, spotify:track:72cjVO7D8QF2DgkafXq9it, https://api.spotify.com/v1/tracks/72cjVO7D8QF2DgkafXq9it, https://api.spotify.com/v1/audio-analysis/72cjVO7D8QF2DgkafXq9it, 202718, 4
0.335, 0.817, 6, -6.159, 0, 0.0605, 0.0169, 0.98, 0.563, 0.245, 94.525, audio_features, 5DPbd8DX8iqVcLwSHEMYmT, spotify:track:5DPbd8DX8iqVcLwSHEMYmT, https://api.spotify.com/v1/tracks/5DPbd8DX8iqVcLwSHEMYmT, https://api.spotify.com/v1/audio-analysis/5DPbd8DX8iqVcLwSHEMYmT, 171829, 4
0.523, 0.803, 4, -5.189, 0, 0.045, 0.579, 0, 0.0948, 0.898, 132.316, audio_features, 3dzW0SoVNyJTWWJimX8stj, spotify:track:3dzW0SoVNyJTWWJimX8stj, https://api.spotify.com/v1/tracks/3dzW0SoVNyJTWWJimX8stj, https://api.spotify.com/v1/audio-analysis/3dzW0SoVNyJTWWJimX8stj, 145293, 4
0.319, 0.629, 4, -8.252, 0, 0.0354, 0.0255, 0.015, 0.122, 0.225, 110.558, audio_features, 1Otek5aO69cfFGeB3jfmRE, spotify:track:1Otek5aO69cfFGeB3jfmRE, https://api.spotify.com/v1/tracks/1Otek5aO69cfFGeB3jfmRE, https://api.spotify.com/v1/audio-analysis/1Otek5aO69cfFGeB3jfmRE, 363907, 4
0.672, 0.792, 2, -7.033, 1, 0.0264, 0.0843, 0.0605, 0.302, 0.683, 111.277, audio_features, 0A4PZuepTcIQVvA5m7R0M1, spotify:track:0A4PZuepTcIQVvA5m7R0M1, https://api.spotify.com/v1/tracks/0A4PZuepTcIQVvA5m7R0M1, https://api.spotify.com/v1/audio-analysis/0A4PZuepTcIQVvA5m7R0M1, 260680, 4
0.583, 0.833, 0, -8.29, 1, 0.0343, 0.0531, 5.57e-05, 0.16, 0.81, 119.884, audio_features, 0B1zVsLqmV9ibIFdNS5tGs, spotify:track:0B1zVsLqmV9ibIFdNS5tGs, https://api.spotify.com/v1/tracks/0B1zVsLqmV9ibIFdNS5tGs, https://api.spotify.com/v1/audio-analysis/0B1zVsLqmV9ibIFdNS5tGs, 182800, 4
